attribute_name,attribute_label,attribute_type,value_type,allowed_values,module,schema_category,parents,required_context,source_of_distribution,constraint_type,is_core,description
big5_modesty,Modesty,ordinal,ordinal,"[""Very high"", ""High"", ""Average"", ""Low"", ""Very low""]",personality_psychometrics,Personality: Big Five,"[""age_bucket"", ""culture"", ""survey_population""]",macro_profile + survey/behavioral evidence,psychometric survey/model-derived,latent_factor_conditional,false,Agreeableness facet — modesty.
big5_sympathy,Sympathy,ordinal,ordinal,"[""Very high"", ""High"", ""Average"", ""Low"", ""Very low""]",personality_psychometrics,Personality: Big Five,"[""age_bucket"", ""culture"", ""survey_population""]",macro_profile + survey/behavioral evidence,psychometric survey/model-derived,latent_factor_conditional,false,Agreeableness facet — sympathy.
big5_anxiety,Anxiety,ordinal,ordinal,"[""Very high"", ""High"", ""Average"", ""Low"", ""Very low""]",personality_psychometrics,Personality: Big Five,"[""age_bucket"", ""culture"", ""survey_population""]",macro_profile + survey/behavioral evidence,psychometric survey/model-derived,latent_factor_conditional,false,Neuroticism facet — anxiety.
big5_anger,Anger,ordinal,ordinal,"[""Very high"", ""High"", ""Average"", ""Low"", ""Very low""]",personality_psychometrics,Personality: Big Five,"[""age_bucket"", ""culture"", ""survey_population""]",macro_profile + survey/behavioral evidence,psychometric survey/model-derived,latent_factor_conditional,false,Neuroticism facet — anger.
big5_depression,Depression,ordinal,ordinal,"[""Very high"", ""High"", ""Average"", ""Low"", ""Very low""]",personality_psychometrics,Personality: Big Five,"[""age_bucket"", ""culture"", ""survey_population""]",macro_profile + survey/behavioral evidence,psychometric survey/model-derived,latent_factor_conditional,false,Neuroticism facet — depression.
big5_self_consciousness,Self-consciousness,ordinal,ordinal,"[""Very high"", ""High"", ""Average"", ""Low"", ""Very low""]",personality_psychometrics,Personality: Big Five,"[""age_bucket"", ""culture"", ""survey_population""]",macro_profile + survey/behavioral evidence,psychometric survey/model-derived,latent_factor_conditional,false,Neuroticism facet — self-consciousness.
big5_immoderation,Immoderation,ordinal,ordinal,"[""Very high"", ""High"", ""Average"", ""Low"", ""Very low""]",personality_psychometrics,Personality: Big Five,"[""age_bucket"", ""culture"", ""survey_population""]",macro_profile + survey/behavioral evidence,psychometric survey/model-derived,latent_factor_conditional,false,Neuroticism facet — immoderation.
big5_vulnerability,Vulnerability,ordinal,ordinal,"[""Very high"", ""High"", ""Average"", ""Low"", ""Very low""]",personality_psychometrics,Personality: Big Five,"[""age_bucket"", ""culture"", ""survey_population""]",macro_profile + survey/behavioral evidence,psychometric survey/model-derived,latent_factor_conditional,false,Neuroticism facet — vulnerability.
lstyle_sleep_schedule,Sleep schedule,categorical,categorical,"[""Early bird"", ""Night owl"", ""Irregular"", ""Flexible"", ""Shift-based""]",lifestyle,Behavior: Time,"[""age_bucket"", ""household_type"", ""income_bucket"", ""occupation_family"", ""urbanicity""]",macro_profile + survey/behavioral evidence,survey/platform behavior/inferred,module_conditional,false,Sleep schedule.
lstyle_exercise_freq,Exercise frequency,categorical,categorical,"[""Daily"", ""Weekly"", ""Monthly"", ""Rarely"", ""Never""]",health,Health: Fitness,"[""age_bucket"", ""gender"", ""income_bucket"", ""country""]",macro_profile + survey/behavioral evidence,CDC/NHIS/BRFSS/survey,module_conditional,false,Exercise frequency.
lstyle_diet_type,Diet type,categorical,categorical,"[""Omnivore"", ""Flexitarian"", ""Vegetarian"", ""Vegan"", ""Pescatarian"", ""Keto/low-carb""]",health,Health: Lifestyle,"[""age_bucket"", ""gender"", ""income_bucket"", ""country""]",macro_profile + survey/behavioral evidence,CDC/NHIS/BRFSS/survey,module_conditional,false,Diet type.
lstyle_alcohol_use,Alcohol use,categorical,categorical,"[""Never"", ""Rarely"", ""Socially"", ""Regularly"", ""Heavily""]",health,Health: Lifestyle,"[""age_bucket"", ""gender"", ""income_bucket"", ""country""]",macro_profile + survey/behavioral evidence,CDC/NHIS/BRFSS/survey,module_conditional,false,Alcohol use.
lstyle_smoking,Smoking / vaping,categorical,categorical,"[""Never"", ""Former"", ""Occasional"", ""Regular""]",media_culture,Interests: Culture,"[""age_bucket"", ""language"", ""education_level"", ""country""]",macro_profile + survey/behavioral evidence,survey/platform behavior/inferred,module_conditional,false,Smoking / vaping.
lstyle_caffeine,Caffeine intake,ordinal,ordinal,"[""None"", ""Low"", ""Moderate"", ""High""]",media_culture,Interests: Culture,"[""age_bucket"", ""language"", ""education_level"", ""country""]",macro_profile + survey/behavioral evidence,survey/platform behavior/inferred,module_conditional,false,Caffeine intake.
lstyle_cooking_freq,Cooking frequency,categorical,categorical,"[""Daily"", ""Weekly"", ""Monthly"", ""Rarely"", ""Never""]",media_culture,Interests: Culture,"[""age_bucket"", ""language"", ""education_level"", ""country""]",macro_profile + survey/behavioral evidence,survey/platform behavior/inferred,module_conditional,false,Cooking frequency.
lstyle_shopping_style,Shopping style,categorical,categorical,"[""Researcher"", ""Impulse buyer"", ""Bargain hunter"", ""Brand loyal"", ""Minimalist""]",media_culture,Interests: Culture,"[""age_bucket"", ""language"", ""education_level"", ""country""]",macro_profile + survey/behavioral evidence,survey/platform behavior/inferred,module_conditional,false,Shopping style.
lstyle_travel_freq,Travel frequency,categorical,categorical,"[""Frequent flyer"", ""A few trips/yr"", ""Occasional"", ""Rare"", ""Homebody""]",media_culture,Interests: Culture,"[""age_bucket"", ""language"", ""education_level"", ""country""]",macro_profile + survey/behavioral evidence,survey/platform behavior/inferred,module_conditional,false,Travel frequency.
lstyle_commute_mode,Commute mode,categorical,categorical,"[""Car"", ""Public transit"", ""Bike"", ""Walk"", ""Remote"", ""Rideshare""]",media_culture,Interests: Culture,"[""age_bucket"", ""language"", ""education_level"", ""country""]",macro_profile + survey/behavioral evidence,survey/platform behavior/inferred,module_conditional,false,Commute mode.
lstyle_pet_ownership,Pet ownership,categorical,categorical,"[""Dog"", ""Cat"", ""Multiple pets"", ""Other"", ""None""]",media_culture,Interests: Culture,"[""age_bucket"", ""language"", ""education_level"", ""country""]",macro_profile + survey/behavioral evidence,survey/platform behavior/inferred,module_conditional,false,Pet ownership.
lstyle_household_size,Household size,ordinal,ordered_bucket,"[""Lives alone"", ""2 people"", ""3–4 people"", ""5+ people"", ""Communal""]",household_family,Demographic: Family,"[""country"", ""age_bucket"", ""income_bucket""]",macro_profile,census/ACS/survey,local_conditional_macro,false,Household size.
lstyle_work_schedule,Work schedule,ordinal,ordered_bucket,"[""9-to-5"", ""Flexible hours"", ""Shift work"", ""On-call"", ""Freelance"", ""Unemployed""]",lifestyle,Behavior: Work,"[""age_bucket"", ""household_type"", ""income_bucket"", ""occupation_family"", ""urbanicity""]",macro_profile + survey/behavioral evidence,survey/platform behavior/inferred,module_conditional,false,Work schedule.
lstyle_screen_time,Daily screen time,ordinal,ordered_bucket,"[""<2 hrs"", ""2–4 hrs"", ""4–8 hrs"", ""8+ hrs""]",media_culture,Interests: Culture,"[""age_bucket"", ""language"", ""education_level"", ""country""]",macro_profile + survey/behavioral evidence,survey/platform behavior/inferred,module_conditional,false,Daily screen time.
lstyle_social_battery,Social battery,categorical,categorical,"[""Strong introvert"", ""Introvert"", ""Ambivert"", ""Extrovert"", ""Strong extrovert""]",media_culture,Interests: Culture,"[""age_bucket"", ""language"", ""education_level"", ""country""]",macro_profile + survey/behavioral evidence,survey/platform behavior/inferred,module_conditional,false,Social battery.
lstyle_planning_horizon,Planning horizon,categorical,categorical,"[""Day-to-day"", ""Weekly"", ""Monthly"", ""Yearly"", ""Multi-year""]",media_culture,Interests: Culture,"[""age_bucket"", ""language"", ""education_level"", ""country""]",macro_profile + survey/behavioral evidence,survey/platform behavior/inferred,module_conditional,false,Planning horizon.
lstyle_punctuality,Punctuality,categorical,categorical,"[""Always early"", ""On time"", ""Usually late"", ""Unpredictable""]",media_culture,Interests: Culture,"[""age_bucket"", ""language"", ""education_level"", ""country""]",macro_profile + survey/behavioral evidence,survey/platform behavior/inferred,module_conditional,false,Punctuality.
lstyle_tidiness,Tidiness,categorical,categorical,"[""Spotless"", ""Tidy"", ""Lived-in"", ""Cluttered"", ""Chaotic""]",media_culture,Interests: Culture,"[""age_bucket"", ""language"", ""education_level"", ""country""]",macro_profile + survey/behavioral evidence,survey/platform behavior/inferred,module_conditional,false,Tidiness.
lstyle_frugality,Spending vs saving,categorical,categorical,"[""Frugal saver"", ""Balanced"", ""Spender"", ""Splurger""]",media_culture,Interests: Culture,"[""age_bucket"", ""language"", ""education_level"", ""country""]",macro_profile + survey/behavioral evidence,survey/platform behavior/inferred,module_conditional,false,Spending vs saving.
lstyle_giving,Charitable giving,categorical,categorical,"[""Regular donor"", ""Occasional"", ""Rare"", ""Never""]",media_culture,Interests: Culture,"[""age_bucket"", ""language"", ""education_level"", ""country""]",macro_profile + survey/behavioral evidence,survey/platform behavior/inferred,module_conditional,false,Charitable giving.
lstyle_news_freq,News consumption,categorical,categorical,"[""Constant"", ""Daily"", ""Weekly"", ""Rarely"", ""Avoids news""]",media_culture,Interests: Culture,"[""age_bucket"", ""language"", ""education_level"", ""country""]",macro_profile + survey/behavioral evidence,survey/platform behavior/inferred,module_conditional,false,News consumption.
lstyle_reading_freq,Reading frequency,categorical,categorical,"[""Daily"", ""Weekly"", ""Monthly"", ""Rarely"", ""Never""]",media_culture,Interests: Culture,"[""age_bucket"", ""language"", ""education_level"", ""country""]",macro_profile + survey/behavioral evidence,survey/platform behavior/inferred,module_conditional,false,Reading frequency.
lstyle_gaming_freq,Gaming frequency,categorical,categorical,"[""Daily"", ""Weekly"", ""Monthly"", ""Rarely"", ""Never""]",media_culture,Interests: Culture,"[""age_bucket"", ""language"", ""education_level"", ""country""]",macro_profile + survey/behavioral evidence,survey/platform behavior/inferred,module_conditional,false,Gaming frequency.
lstyle_streaming_hours,Streaming hours/week,ordinal,ordered_bucket,"[""0–2"", ""3–7"", ""8–15"", ""16+""]",media_culture,Interests: Culture,"[""age_bucket"", ""language"", ""education_level"", ""country""]",macro_profile + survey/behavioral evidence,survey/platform behavior/inferred,module_conditional,false,Streaming hours/week.
lstyle_music_listening,Music listening,ordinal,ordinal,"[""All day"", ""Daily"", ""Sometimes"", ""Rarely""]",media_culture,Interests: Culture,"[""age_bucket"", ""language"", ""education_level"", ""country""]",macro_profile + survey/behavioral evidence,survey/platform behavior/inferred,module_conditional,false,Music listening.
lstyle_podcast_listening,Podcast listening,categorical,categorical,"[""Daily"", ""Weekly"", ""Monthly"", ""Rarely"", ""Never""]",media_culture,Interests: Culture,"[""age_bucket"", ""language"", ""education_level"", ""country""]",macro_profile + survey/behavioral evidence,survey/platform behavior/inferred,module_conditional,false,Podcast listening.
lstyle_primary_social,Primary social platform,categorical,categorical,"[""Instagram"", ""TikTok"", ""X / Twitter"", ""Facebook"", ""LinkedIn"", ""YouTube"", ""Reddit"", ""None""]",media_culture,Interests: Culture,"[""age_bucket"", ""language"", ""education_level"", ""country""]",macro_profile + survey/behavioral evidence,survey/platform behavior/inferred,module_conditional,false,Primary social platform.
lstyle_primary_messenger,Primary messenger,categorical,categorical,"[""WhatsApp"", ""iMessage"", ""WeChat"", ""Telegram"", ""Signal"", ""Messenger"", ""SMS""]",media_culture,Interests: Culture,"[""age_bucket"", ""language"", ""education_level"", ""country""]",macro_profile + survey/behavioral evidence,survey/platform behavior/inferred,module_conditional,false,Primary messenger.
lstyle_device_ecosystem,Device ecosystem,categorical,categorical,"[""Apple"", ""Android/Google"", ""Windows"", ""Mixed"", ""Linux""]",media_culture,Interests: Culture,"[""age_bucket"", ""language"", ""education_level"", ""country""]",macro_profile + survey/behavioral evidence,survey/platform behavior/inferred,module_conditional,false,Device ecosystem.
lstyle_browser,Primary browser,categorical,categorical,"[""Chrome"", ""Safari"", ""Firefox"", ""Edge"", ""Brave"", ""Other""]",media_culture,Interests: Culture,"[""age_bucket"", ""language"", ""education_level"", ""country""]",macro_profile + survey/behavioral evidence,survey/platform behavior/inferred,module_conditional,false,Primary browser.
lstyle_payment_pref,Payment preference,categorical,categorical,"[""Credit card"", ""Debit card"", ""Mobile wallet"", ""Cash"", ""BNPL"", ""Crypto""]",media_culture,Interests: Culture,"[""age_bucket"", ""language"", ""education_level"", ""country""]",macro_profile + survey/behavioral evidence,survey/platform behavior/inferred,module_conditional,false,Payment preference.
lstyle_banking_style,Banking style,categorical,categorical,"[""Traditional bank"", ""Neobank"", ""Credit union"", ""Mostly cash"", ""Unbanked""]",media_culture,Interests: Culture,"[""age_bucket"", ""language"", ""education_level"", ""country""]",macro_profile + survey/behavioral evidence,survey/platform behavior/inferred,module_conditional,false,Banking style.
lstyle_investment_style,Investment style,categorical,categorical,"[""Index investor"", ""Active trader"", ""Crypto-heavy"", ""Real estate"", ""Cash saver"", ""None""]",media_culture,Interests: Culture,"[""age_bucket"", ""language"", ""education_level"", ""country""]",macro_profile + survey/behavioral evidence,survey/platform behavior/inferred,module_conditional,false,Investment style.
lstyle_subscription_count,Active subscriptions,ordinal,ordered_bucket,"[""0–2"", ""3–5"", ""6–10"", ""10+""]",media_culture,Interests: Culture,"[""age_bucket"", ""language"", ""education_level"", ""country""]",macro_profile + survey/behavioral evidence,survey/platform behavior/inferred,module_conditional,false,Active subscriptions.
lstyle_coffee_ritual,Coffee ritual,categorical,categorical,"[""Home brew"", ""Café regular"", ""Office coffee"", ""Tea instead"", ""None""]",media_culture,Interests: Culture,"[""age_bucket"", ""language"", ""education_level"", ""country""]",macro_profile + survey/behavioral evidence,survey/platform behavior/inferred,module_conditional,false,Coffee ritual.
lstyle_fashion_sense,Fashion sense,categorical,categorical,"[""Trend-setter"", ""Trend-follower"", ""Classic"", ""Practical"", ""Indifferent""]",media_culture,Interests: Culture,"[""age_bucket"", ""language"", ""education_level"", ""country""]",macro_profile + survey/behavioral evidence,survey/platform behavior/inferred,module_conditional,false,Fashion sense.
lstyle_hobby_intensity,Hobby intensity,categorical,categorical,"[""Obsessive"", ""Dedicated"", ""Casual"", ""Dabbler"", ""None""]",media_culture,Interests: Culture,"[""age_bucket"", ""language"", ""education_level"", ""country""]",macro_profile + survey/behavioral evidence,survey/platform behavior/inferred,module_conditional,false,Hobby intensity.
lstyle_vacation_style,Vacation style,categorical,categorical,"[""Adventure"", ""Relaxation"", ""Culture"", ""Luxury"", ""Budget backpacking"", ""Staycation""]",media_culture,Interests: Culture,"[""age_bucket"", ""language"", ""education_level"", ""country""]",macro_profile + survey/behavioral evidence,survey/platform behavior/inferred,module_conditional,false,Vacation style.
lstyle_morning_routine,Morning routine,ordinal,ordinal,"[""Highly structured"", ""Loosely structured"", ""Rushed"", ""Slow"", ""None""]",media_culture,Interests: Culture,"[""age_bucket"", ""language"", ""education_level"", ""country""]",macro_profile + survey/behavioral evidence,survey/platform behavior/inferred,module_conditional,false,Morning routine.
lstyle_volunteering,Volunteering,categorical,categorical,"[""Daily"", ""Weekly"", ""Monthly"", ""Rarely"", ""Never""]",media_culture,Interests: Culture,"[""age_bucket"", ""language"", ""education_level"", ""country""]",macro_profile + survey/behavioral evidence,survey/platform behavior/inferred,module_conditional,false,Volunteering.
cog_verbosity,Verbosity,categorical,categorical,"[""Terse"", ""Concise"", ""Balanced"", ""Wordy"", ""Rambling""]",language_communication,Linguistic: Communication,"[""language"", ""education_level"", ""culture"", ""context""]",macro_profile,census/ACS/survey/inferred text,local_conditional_macro,false,Verbosity.
cog_formality,Formality,categorical,categorical,"[""Very formal"", ""Formal"", ""Neutral"", ""Casual"", ""Slangy""]",language_communication,Linguistic: Communication,"[""language"", ""education_level"", ""culture"", ""context""]",macro_profile,census/ACS/survey/inferred text,local_conditional_macro,false,Formality.
cog_directness,Directness,categorical,categorical,"[""Blunt"", ""Direct"", ""Balanced"", ""Indirect"", ""Evasive""]",language_communication,Linguistic: Communication,"[""language"", ""education_level"", ""culture"", ""context""]",macro_profile,census/ACS/survey/inferred text,local_conditional_macro,false,Directness.
cog_humor,Humor style,categorical,categorical,"[""Dry"", ""Sarcastic"", ""Playful"", ""Wholesome"", ""Serious""]",language_communication,Linguistic: Communication,"[""language"", ""education_level"", ""culture"", ""context""]",macro_profile,census/ACS/survey/inferred text,local_conditional_macro,false,Humor style.
cog_detail_orientation,Detail orientation,ordinal,ordinal,"[""Very high"", ""High"", ""Moderate"", ""Low"", ""None""]",language_communication,Linguistic: Communication,"[""language"", ""education_level"", ""culture"", ""context""]",macro_profile,census/ACS/survey/inferred text,local_conditional_macro,false,Detail orientation.
cog_abstraction,Abstract vs concrete,categorical,categorical,"[""Highly abstract"", ""Abstract"", ""Balanced"", ""Concrete"", ""Very concrete""]",language_communication,Linguistic: Communication,"[""language"", ""education_level"", ""culture"", ""context""]",macro_profile,census/ACS/survey/inferred text,local_conditional_macro,false,Abstract vs concrete.
cog_optimism,Optimism,ordinal,ordinal,"[""Very high"", ""High"", ""Moderate"", ""Low"", ""None""]",language_communication,Linguistic: Communication,"[""language"", ""education_level"", ""culture"", ""context""]",macro_profile,census/ACS/survey/inferred text,local_conditional_macro,false,Optimism.
cog_patience,Patience,ordinal,ordinal,"[""Very high"", ""High"", ""Moderate"", ""Low"", ""None""]",language_communication,Linguistic: Communication,"[""language"", ""education_level"", ""culture"", ""context""]",macro_profile,census/ACS/survey/inferred text,local_conditional_macro,false,Patience.
cog_curiosity,Curiosity,ordinal,ordinal,"[""Very high"", ""High"", ""Moderate"", ""Low"", ""None""]",language_communication,Linguistic: Communication,"[""language"", ""education_level"", ""culture"", ""context""]",macro_profile,census/ACS/survey/inferred text,local_conditional_macro,false,Curiosity.
cog_skepticism,Skepticism,ordinal,ordinal,"[""Very high"", ""High"", ""Moderate"", ""Low"", ""None""]",language_communication,Linguistic: Communication,"[""language"", ""education_level"", ""culture"", ""context""]",macro_profile,census/ACS/survey/inferred text,local_conditional_macro,false,Skepticism.
cog_open_mindedness,Open-mindedness,ordinal,ordinal,"[""Very high"", ""High"", ""Moderate"", ""Low"", ""None""]",language_communication,Linguistic: Communication,"[""language"", ""education_level"", ""culture"", ""context""]",macro_profile,census/ACS/survey/inferred text,local_conditional_macro,false,Open-mindedness.
cog_assertiveness,Assertiveness,ordinal,ordinal,"[""Very high"", ""High"", ""Moderate"", ""Low"", ""None""]",language_communication,Linguistic: Communication,"[""language"", ""education_level"", ""culture"", ""context""]",macro_profile,census/ACS/survey/inferred text,local_conditional_macro,false,Assertiveness.
cog_emotional_expressiveness,Emotional expressiveness,ordinal,ordinal,"[""Very high"", ""High"", ""Moderate"", ""Low"", ""None""]",language_communication,Linguistic: Communication,"[""language"", ""education_level"", ""culture"", ""context""]",macro_profile,census/ACS/survey/inferred text,local_conditional_macro,false,Emotional expressiveness.
cog_conflict_approach,Conflict approach,categorical,categorical,"[""Confronting"", ""Collaborative"", ""Compromising"", ""Avoidant"", ""Accommodating""]",language_communication,Linguistic: Communication,"[""language"", ""education_level"", ""culture"", ""context""]",macro_profile,census/ACS/survey/inferred text,local_conditional_macro,false,Conflict approach.
cog_feedback_receptiveness,Feedback receptiveness,ordinal,ordinal,"[""Very high"", ""High"", ""Moderate"", ""Low"", ""None""]",language_communication,Linguistic: Communication,"[""language"", ""education_level"", ""culture"", ""context""]",macro_profile,census/ACS/survey/inferred text,local_conditional_macro,false,Feedback receptiveness.
cog_ambiguity_tolerance,Ambiguity tolerance,ordinal,ordinal,"[""Very high"", ""High"", ""Moderate"", ""Low"", ""None""]",language_communication,Linguistic: Communication,"[""language"", ""education_level"", ""culture"", ""context""]",macro_profile,census/ACS/survey/inferred text,local_conditional_macro,false,Ambiguity tolerance.
cog_perfectionism,Perfectionism,ordinal,ordinal,"[""Very high"", ""High"", ""Moderate"", ""Low"", ""None""]",language_communication,Linguistic: Communication,"[""language"", ""education_level"", ""culture"", ""context""]",macro_profile,census/ACS/survey/inferred text,local_conditional_macro,false,Perfectionism.
cog_procrastination,Procrastination tendency,ordinal,ordinal,"[""Very high"", ""High"", ""Moderate"", ""Low"", ""None""]",language_communication,Linguistic: Communication,"[""language"", ""education_level"", ""culture"", ""context""]",macro_profile,census/ACS/survey/inferred text,local_conditional_macro,false,Procrastination tendency.
cog_multitasking,Multitasking,categorical,categorical,"[""Heavy multitasker"", ""Some"", ""Prefers single-task"", ""Strict monotasker""]",language_communication,Linguistic: Communication,"[""language"", ""education_level"", ""culture"", ""context""]",macro_profile,census/ACS/survey/inferred text,local_conditional_macro,false,Multitasking.
cog_attention_span,Attention span,categorical,categorical,"[""Very long"", ""Long"", ""Average"", ""Short"", ""Very short""]",language_communication,Linguistic: Communication,"[""language"", ""education_level"", ""culture"", ""context""]",macro_profile,census/ACS/survey/inferred text,local_conditional_macro,false,Attention span.
cog_learning_pace,Learning pace,categorical,categorical,"[""Very fast"", ""Fast"", ""Average"", ""Deliberate"", ""Slow""]",language_communication,Linguistic: Communication,"[""language"", ""education_level"", ""culture"", ""context""]",macro_profile,census/ACS/survey/inferred text,local_conditional_macro,false,Learning pace.
cog_question_asking,Question-asking,ordinal,ordinal,"[""Asks constantly"", ""Asks often"", ""Sometimes"", ""Rarely asks""]",language_communication,Linguistic: Communication,"[""language"", ""education_level"", ""culture"", ""context""]",macro_profile,census/ACS/survey/inferred text,local_conditional_macro,false,Question-asking.
cog_decision_speed,Decision speed,categorical,categorical,"[""Snap decisions"", ""Quick"", ""Balanced"", ""Deliberate"", ""Agonizes""]",language_communication,Linguistic: Communication,"[""language"", ""education_level"", ""culture"", ""context""]",macro_profile,census/ACS/survey/inferred text,local_conditional_macro,false,Decision speed.
cog_confidence_calibration,Confidence calibration,categorical,categorical,"[""Overconfident"", ""Confident"", ""Well-calibrated"", ""Cautious"", ""Underconfident""]",language_communication,Linguistic: Communication,"[""language"", ""education_level"", ""culture"", ""context""]",macro_profile,census/ACS/survey/inferred text,local_conditional_macro,false,Confidence calibration.
cog_numeracy_comfort,Numeracy comfort,ordinal,ordinal,"[""Very high"", ""High"", ""Moderate"", ""Low"", ""None""]",language_communication,Linguistic: Communication,"[""language"", ""education_level"", ""culture"", ""context""]",macro_profile,census/ACS/survey/inferred text,local_conditional_macro,false,Numeracy comfort.
cog_reading_vs_watching,Reading vs watching,categorical,categorical,"[""Strongly prefers reading"", ""Prefers reading"", ""No preference"", ""Prefers video"", ""Strongly prefers video""]",language_communication,Linguistic: Communication,"[""language"", ""education_level"", ""culture"", ""context""]",macro_profile,census/ACS/survey/inferred text,local_conditional_macro,false,Reading vs watching.
cog_visual_vs_verbal,Visual vs verbal thinking,categorical,categorical,"[""Strongly visual"", ""Visual"", ""Mixed"", ""Verbal"", ""Strongly verbal""]",language_communication,Linguistic: Communication,"[""language"", ""education_level"", ""culture"", ""context""]",macro_profile,census/ACS/survey/inferred text,local_conditional_macro,false,Visual vs verbal thinking.
cog_big_picture_vs_detail,Big-picture vs detail,categorical,categorical,"[""Big-picture only"", ""Big-picture"", ""Both"", ""Detail"", ""Detail-obsessed""]",language_communication,Linguistic: Communication,"[""language"", ""education_level"", ""culture"", ""context""]",macro_profile,census/ACS/survey/inferred text,local_conditional_macro,false,Big-picture vs detail.
cog_risk_framing,Risk framing,categorical,categorical,"[""Opportunity-focused"", ""Balanced"", ""Threat-focused""]",language_communication,Linguistic: Communication,"[""language"", ""education_level"", ""culture"", ""context""]",macro_profile,census/ACS/survey/inferred text,local_conditional_macro,false,Risk framing.
cog_empathy_expression,Empathy expression,ordinal,ordinal,"[""Very high"", ""High"", ""Moderate"", ""Low"", ""None""]",language_communication,Linguistic: Communication,"[""language"", ""education_level"", ""culture"", ""context""]",macro_profile,census/ACS/survey/inferred text,local_conditional_macro,false,Empathy expression.
cog_storytelling,Storytelling tendency,ordinal,ordinal,"[""Very high"", ""High"", ""Moderate"", ""Low"", ""None""]",language_communication,Linguistic: Communication,"[""language"", ""education_level"", ""culture"", ""context""]",macro_profile,census/ACS/survey/inferred text,local_conditional_macro,false,Storytelling tendency.
cog_precision_of_language,Precision of language,categorical,categorical,"[""Very precise"", ""Precise"", ""Average"", ""Loose"", ""Vague""]",language_communication,Linguistic: Communication,"[""language"", ""education_level"", ""culture"", ""context""]",macro_profile,census/ACS/survey/inferred text,local_conditional_macro,false,Precision of language.
cog_use_of_jargon,Use of jargon,categorical,categorical,"[""Heavy"", ""Moderate"", ""Light"", ""Avoids jargon""]",language_communication,Linguistic: Communication,"[""language"", ""education_level"", ""culture"", ""context""]",macro_profile,census/ACS/survey/inferred text,local_conditional_macro,false,Use of jargon.
cog_emoji_use,Emoji / emoticon use,categorical,categorical,"[""Heavy"", ""Moderate"", ""Rare"", ""Never""]",language_communication,Linguistic: Communication,"[""language"", ""education_level"", ""culture"", ""context""]",macro_profile,census/ACS/survey/inferred text,local_conditional_macro,false,Emoji / emoticon use.
cog_politeness,Politeness,categorical,categorical,"[""Very polite"", ""Polite"", ""Neutral"", ""Brusque"", ""Rude""]",language_communication,Linguistic: Communication,"[""language"", ""education_level"", ""culture"", ""context""]",macro_profile,census/ACS/survey/inferred text,local_conditional_macro,false,Politeness.
health_general_health,General health,ordinal,ordinal,"[""Excellent"", ""Good"", ""Fair"", ""Poor""]",health,Health: Physical,"[""age_bucket"", ""gender"", ""income_bucket"", ""country""]",macro_profile + survey/behavioral evidence,CDC/NHIS/BRFSS/survey,module_conditional,false,General health.
health_chronic_condition,Chronic condition,categorical,categorical,"[""None"", ""Managed"", ""Multiple"", ""Undiagnosed concerns""]",health,Health: Physical,"[""age_bucket"", ""gender"", ""income_bucket"", ""country""]",macro_profile + survey/behavioral evidence,CDC/NHIS/BRFSS/survey,module_conditional,false,Chronic condition.
health_mobility,Mobility,categorical,categorical,"[""Full"", ""Mild limitation"", ""Moderate limitation"", ""Uses mobility aid""]",health,Health: Physical,"[""age_bucket"", ""gender"", ""income_bucket"", ""country""]",macro_profile + survey/behavioral evidence,CDC/NHIS/BRFSS/survey,module_conditional,false,Mobility.
health_vision,Vision,categorical,categorical,"[""Normal"", ""Corrected"", ""Low vision"", ""Blind""]",health,Health: Physical,"[""age_bucket"", ""gender"", ""income_bucket"", ""country""]",macro_profile + survey/behavioral evidence,CDC/NHIS/BRFSS/survey,module_conditional,false,Vision.
health_hearing,Hearing,categorical,categorical,"[""Normal"", ""Mild loss"", ""Moderate loss"", ""Deaf / hard of hearing""]",health,Health: Physical,"[""age_bucket"", ""gender"", ""income_bucket"", ""country""]",macro_profile + survey/behavioral evidence,CDC/NHIS/BRFSS/survey,module_conditional,false,Hearing.
health_color_vision,Color vision,categorical,categorical,"[""Typical"", ""Color-blind""]",health,Health: Physical,"[""age_bucket"", ""gender"", ""income_bucket"", ""country""]",macro_profile + survey/behavioral evidence,CDC/NHIS/BRFSS/survey,module_conditional,false,Color vision.
health_dexterity,Manual dexterity,categorical,categorical,"[""Full"", ""Reduced"", ""Limited"", ""Assistive needed""]",health,Health: Physical,"[""age_bucket"", ""gender"", ""income_bucket"", ""country""]",macro_profile + survey/behavioral evidence,CDC/NHIS/BRFSS/survey,module_conditional,false,Manual dexterity.
health_mental_health,Mental health,categorical,categorical,"[""Thriving"", ""Stable"", ""Struggling"", ""In crisis""]",health,Health: Physical,"[""age_bucket"", ""gender"", ""income_bucket"", ""country""]",macro_profile + survey/behavioral evidence,CDC/NHIS/BRFSS/survey,module_conditional,false,Mental health.
health_stress_level,Stress level,ordinal,ordinal,"[""Very high"", ""High"", ""Moderate"", ""Low"", ""None""]",health,Health: Physical,"[""age_bucket"", ""gender"", ""income_bucket"", ""country""]",macro_profile + survey/behavioral evidence,CDC/NHIS/BRFSS/survey,module_conditional,false,Stress level.
health_energy_level,Energy level,ordinal,ordinal,"[""Very high"", ""High"", ""Moderate"", ""Low"", ""None""]",health,Health: Physical,"[""age_bucket"", ""gender"", ""income_bucket"", ""country""]",macro_profile + survey/behavioral evidence,CDC/NHIS/BRFSS/survey,module_conditional,false,Energy level.
